year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_iso_raw,home_team_name,away_team_iso_raw,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2,match_country_name,home_team_iso,away_team_iso,host_country_iso,neutral_venue,host_team_iso,time_weight
1954,WC-1954,M-1954-04,1954-06-16,group stage,Group 3,0,URY,Uruguay,CSK,Czechoslovakia,2,0,0,0,0,0,H,Switzerland,URY,CZE,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-05,1954-06-17,group stage,Group 4,0,CHE,Switzerland,ITA,Italy,2,1,0,0,0,0,H,Switzerland,CHE,ITA,CHE,False,CHE,0.033373269960326066
1954,WC-1954,M-1954-06,1954-06-17,group stage,Group 2,0,HUN,Hungary,KOR,South Korea,9,0,0,0,0,0,H,Switzerland,HUN,KOR,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-07,1954-06-17,group stage,Group 2,0,DEU,West Germany,TUR,Turkey,4,1,0,0,0,0,H,Switzerland,DEU,TUR,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-08,1954-06-17,group stage,Group 4,0,ENG,England,BEL,Belgium,4,4,1,0,0,0,D,Switzerland,ENG,BEL,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-09,1954-06-19,group stage,Group 3,0,URY,Uruguay,SCO,Scotland,7,0,0,0,0,0,H,Switzerland,URY,SCO,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-10,1954-06-19,group stage,Group 1,0,BRA,Brazil,YUG,Yugoslavia,1,1,1,0,0,0,D,Switzerland,BRA,YUG,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-11,1954-06-19,group stage,Group 3,0,AUT,Austria,CSK,Czechoslovakia,5,0,0,0,0,0,H,Switzerland,AUT,CZE,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-12,1954-06-19,group stage,Group 1,0,FRA,France,MEX,Mexico,3,2,0,0,0,0,H,Switzerland,FRA,MEX,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-13,1954-06-20,group stage,Group 2,0,HUN,Hungary,DEU,West Germany,8,3,0,0,0,0,H,Switzerland,HUN,DEU,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-14,1954-06-20,group stage,Group 2,0,TUR,Turkey,KOR,South Korea,7,0,0,0,0,0,H,Switzerland,TUR,KOR,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-15,1954-06-20,group stage,Group 4,0,ITA,Italy,BEL,Belgium,4,1,0,0,0,0,H,Switzerland,ITA,BEL,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-16,1954-06-20,group stage,Group 4,0,ENG,England,CHE,Switzerland,2,0,0,0,0,0,H,Switzerland,ENG,CHE,CHE,False,CHE,0.033373269960326066
1954,WC-1954,M-1954-17,1954-06-23,group stage,Group 2,0,DEU,West Germany,TUR,Turkey,7,2,0,0,0,0,H,Switzerland,DEU,TUR,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-18,1954-06-23,group stage,Group 4,0,CHE,Switzerland,ITA,Italy,4,1,0,0,0,0,H,Switzerland,CHE,ITA,CHE,False,CHE,0.033373269960326066
1954,WC-1954,M-1954-19,1954-06-26,quarter-finals,not applicable,1,AUT,Austria,CHE,Switzerland,7,5,0,0,0,0,H,Switzerland,AUT,CHE,CHE,False,CHE,0.033373269960326066
1954,WC-1954,M-1954-20,1954-06-26,quarter-finals,not applicable,1,URY,Uruguay,ENG,England,4,2,0,0,0,0,H,Switzerland,URY,ENG,CHE,True,,0.033373269960326066
