player_name,position,club,iso_code,team_name,player_norm
Hannes Delcroix,2 DF,Lugano,HTI,Haiti,hannes delcroix
Carl Sainté,3 MF,El Paso Locomotive FC,HTI,Haiti,carl sainte
Derrick Etienne Jr.,4 FW,Toronto FC,HTI,Haiti,derrick etienne jr.
Martin Expérience,2 DF,Nancy,HTI,Haiti,martin experience
Duckens Nazon,4 FW,Esteghlal,HTI,Haiti,duckens nazon
Jean-Ricner Bellegarde,3 MF,Wolverhampton Wanderers,HTI,Haiti,jean-ricner bellegarde
Louicius Deedson,4 FW,FC Dallas,HTI,Haiti,louicius deedson
Alexandre Pierre,1 GK,Sochaux,HTI,Haiti,alexandre pierre
Duke Lacroix,2 DF,Colorado Springs Switchbacks FC,HTI,Haiti,duke lacroix
Leverton Pierre,3 MF,Vizela,HTI,Haiti,leverton pierre
Ruben Providence,4 FW,Almere City,HTI,Haiti,ruben providence
Lenny Joseph,4 FW,Ferencváros,HTI,Haiti,lenny joseph
Danley Jean Jacques,3 MF,Philadelphia Union,HTI,Haiti,danley jean jacques
Wilson Isidor,4 FW,Sunderland,HTI,Haiti,wilson isidor
Yassin Fortuné,4 FW,Vizela,HTI,Haiti,yassin fortune
Frantzdy Pierrot,4 FW,Çaykur Rizespor,HTI,Haiti,frantzdy pierrot
Josué Casimir,4 FW,Auxerre,HTI,Haiti,josue casimir
Jean-Kévin Duverne,2 DF,Gent,HTI,Haiti,jean-kevin duverne
Josué Duverger,1 GK,Cosmos Koblenz,HTI,Haiti,josue duverger
Wilguens Paugain,2 DF,Zulte Waregem,HTI,Haiti,wilguens paugain
Dominique Simon,3 MF,Tatran Prešov,HTI,Haiti,dominique simon
Woodensky Pierre,3 MF,Violette,HTI,Haiti,woodensky pierre
Yassine Bounou,1 GK,Al-Hilal,MAR,Morocco,yassine bounou
Achraf Hakimi ( captain ),2 DF,Paris Saint-Germain,MAR,Morocco,achraf hakimi
Noussair Mazraoui,2 DF,Manchester United,MAR,Morocco,noussair mazraoui
Sofyan Amrabat,3 MF,Real Betis,MAR,Morocco,sofyan amrabat
Nayef Aguerd,2 DF,Marseille,MAR,Morocco,nayef aguerd
Ayyoub Bouaddi,3 MF,Lille,MAR,Morocco,ayyoub bouaddi
Chemsdine Talbi,3 MF,Sunderland,MAR,Morocco,chemsdine talbi
Azzedine Ounahi,3 MF,Girona,MAR,Morocco,azzedine ounahi
Soufiane Rahimi,4 FW,Al-Ain,MAR,Morocco,soufiane rahimi
Brahim Díaz,4 FW,Real Madrid,MAR,Morocco,brahim diaz
Ismael Saibari,3 MF,PSV Eindhoven,MAR,Morocco,ismael saibari
Munir Mohamedi,1 GK,RS Berkane,MAR,Morocco,munir mohamedi
Zakaria El Ouahdi,2 DF,Genk,MAR,Morocco,zakaria el ouahdi
Issa Diop,2 DF,Fulham,MAR,Morocco,issa diop
Samir El Mourabet,3 MF,Strasbourg,MAR,Morocco,samir el mourabet
Gessime Yassine,3 MF,Strasbourg,MAR,Morocco,gessime yassine
Abde Ezzalzouli,4 FW,Real Betis,MAR,Morocco,abde ezzalzouli
Chadi Riad,2 DF,Crystal Palace,MAR,Morocco,chadi riad
Youssef Belammari,2 DF,Al Ahly,MAR,Morocco,youssef belammari
Ayoub El Kaabi,4 FW,Olympiacos,MAR,Morocco,ayoub el kaabi
Ayoube Amaimouni,4 FW,Eintracht Frankfurt,MAR,Morocco,ayoube amaimouni
Ahmed Reda Tagnaouti,1 GK,AS FAR,MAR,Morocco,ahmed reda tagnaouti
Bilal El Khannouss,3 MF,VfB Stuttgart,MAR,Morocco,bilal el khannouss
Neil El Aynaoui,3 MF,Roma,MAR,Morocco,neil el aynaoui
Redouane Halhal,2 DF,Mechelen,MAR,Morocco,redouane halhal
Anass Salah-Eddine,2 DF,PSV Eindhoven,MAR,Morocco,anass salah-eddine
Angus Gunn,1 GK,Nottingham Forest,SCO,Scotland,angus gunn
Aaron Hickey,2 DF,Brentford,SCO,Scotland,aaron hickey
Andy Robertson ( captain ),2 DF,Liverpool,SCO,Scotland,andy robertson
Scott McTominay,3 MF,Napoli,SCO,Scotland,scott mctominay
Grant Hanley,2 DF,Hibernian,SCO,Scotland,grant hanley
Kieran Tierney,2 DF,Celtic,SCO,Scotland,kieran tierney
John McGinn,3 MF,Aston Villa,SCO,Scotland,john mcginn
Tyler Fletcher,3 MF,Manchester United,SCO,Scotland,tyler fletcher
Lyndon Dykes,4 FW,Charlton Athletic,SCO,Scotland,lyndon dykes
Ché Adams,4 FW,Torino,SCO,Scotland,che adams
Ryan Christie,3 MF,Bournemouth,SCO,Scotland,ryan christie
Liam Kelly,1 GK,Rangers,SCO,Scotland,liam kelly
Jack Hendry,2 DF,Al-Ettifaq,SCO,Scotland,jack hendry
Ross Stewart,4 FW,Southampton,SCO,Scotland,ross stewart
John Souttar,2 DF,Rangers,SCO,Scotland,john souttar
Dominic Hyam,2 DF,Wrexham,SCO,Scotland,dominic hyam
Ben Gannon-Doak,4 FW,Bournemouth,SCO,Scotland,ben gannon-doak
George Hirst,4 FW,Ipswich Town,SCO,Scotland,george hirst
Lewis Ferguson,3 MF,Bologna,SCO,Scotland,lewis ferguson
Lawrence Shankland,4 FW,Heart of Midlothian,SCO,Scotland,lawrence shankland
Craig Gordon,1 GK,Heart of Midlothian,SCO,Scotland,craig gordon
Nathan Patterson,2 DF,Everton,SCO,Scotland,nathan patterson
Kenny McLean,3 MF,Norwich City,SCO,Scotland,kenny mclean
Anthony Ralston,2 DF,Celtic,SCO,Scotland,anthony ralston
Findlay Curtis,4 FW,Kilmarnock,SCO,Scotland,findlay curtis
Scott McKenna,2 DF,Dinamo Zagreb,SCO,Scotland,scott mckenna
Mathew Ryan ( captain ),1 GK,Levante,AUS,Australia,mathew ryan
Miloš Degenek,2 DF,APOEL,AUS,Australia,milos degenek
Alessandro Circati,2 DF,Parma,AUS,Australia,alessandro circati
Jacob Italiano,2 DF,GAK,AUS,Australia,jacob italiano
Jordan Bos,2 DF,Feyenoord,AUS,Australia,jordan bos
Jason Geria,2 DF,Albirex Niigata,AUS,Australia,jason geria
Mathew Leckie,4 FW,Melbourne City,AUS,Australia,mathew leckie
Connor Metcalfe,3 MF,FC St. Pauli,AUS,Australia,connor metcalfe
Mohamed Touré,4 FW,Norwich City,AUS,Australia,mohamed toure
Ajdin Hrustic,4 FW,Heracles Almelo,AUS,Australia,ajdin hrustic
Awer Mabil,4 FW,Castellón,AUS,Australia,awer mabil
Paul Izzo,1 GK,Randers,AUS,Australia,paul izzo
Aiden O'Neill,3 MF,New York City FC,AUS,Australia,aiden o'neill
Cammy Devlin,3 MF,Heart of Midlothian,AUS,Australia,cammy devlin
Kai Trewin,2 DF,New York City FC,AUS,Australia,kai trewin
Aziz Behich,2 DF,Melbourne City,AUS,Australia,aziz behich
Nestory Irankunda,4 FW,Watford,AUS,Australia,nestory irankunda
Patrick Beach,1 GK,Melbourne City,AUS,Australia,patrick beach
Harry Souttar,2 DF,Leicester City,AUS,Australia,harry souttar
Cristian Volpato,4 FW,Sassuolo,AUS,Australia,cristian volpato
Cameron Burgess,2 DF,Swansea City,AUS,Australia,cameron burgess
Jackson Irvine,3 MF,FC St. Pauli,AUS,Australia,jackson irvine
Nishan Velupillay,4 FW,Melbourne Victory,AUS,Australia,nishan velupillay
Paul Okon-Engstler,3 MF,Sydney FC,AUS,Australia,paul okon-engstler
Lucas Herrington,2 DF,Colorado Rapids,AUS,Australia,lucas herrington
Tete Yengi,4 FW,Machida Zelvia,AUS,Australia,tete yengi
Gatito Fernández,1 GK,Cerro Porteño,PRY,Paraguay,gatito fernandez
Gustavo Velázquez,2 DF,Cerro Porteño,PRY,Paraguay,gustavo velazquez
Omar Alderete,2 DF,Sunderland,PRY,Paraguay,omar alderete
Juan José Cáceres,2 DF,Dynamo Moscow,PRY,Paraguay,juan jose caceres
Fabián Balbuena,2 DF,Grêmio,PRY,Paraguay,fabian balbuena
Júnior Alonso,2 DF,Atlético Mineiro,PRY,Paraguay,junior alonso
Ramón Sosa,3 MF,Palmeiras,PRY,Paraguay,ramon sosa
Diego Gómez,3 MF,Brighton & Hove Albion,PRY,Paraguay,diego gomez
Antonio Sanabria,4 FW,Cremonese,PRY,Paraguay,antonio sanabria
Miguel Almirón,3 MF,Atlanta United FC,PRY,Paraguay,miguel almiron
Maurício,3 MF,Palmeiras,PRY,Paraguay,mauricio
Orlando Gill,1 GK,San Lorenzo,PRY,Paraguay,orlando gill
José Canale,2 DF,Lanús,PRY,Paraguay,jose canale
Andrés Cubas,3 MF,Vancouver Whitecaps FC,PRY,Paraguay,andres cubas
Gustavo Gómez ( captain ),2 DF,Palmeiras,PRY,Paraguay,gustavo gomez
Damián Bobadilla,3 MF,São Paulo,PRY,Paraguay,damian bobadilla
Kaku,4 FW,Al-Ain,PRY,Paraguay,kaku
