year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_code,home_team_name,away_team_code,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2
1990,WC-1990,M-1990-43,1990-06-26,round of 16,not applicable,1,ESP,Spain,YUG,Yugoslavia,1,2,1,0,0,0,A
1990,WC-1990,M-1990-44,1990-06-26,round of 16,not applicable,1,ENG,England,BEL,Belgium,1,0,1,0,0,0,H
1990,WC-1990,M-1990-45,1990-06-30,quarter-finals,not applicable,1,ARG,Argentina,YUG,Yugoslavia,0,0,1,1,3,2,D
1990,WC-1990,M-1990-46,1990-06-30,quarter-finals,not applicable,1,IRL,Republic of Ireland,ITA,Italy,0,1,0,0,0,0,A
1990,WC-1990,M-1990-47,1990-07-01,quarter-finals,not applicable,1,CSK,Czechoslovakia,DEU,West Germany,0,1,0,0,0,0,A
1990,WC-1990,M-1990-48,1990-07-01,quarter-finals,not applicable,1,CMR,Cameroon,ENG,England,2,3,1,0,0,0,A
1990,WC-1990,M-1990-49,1990-07-03,semi-finals,not applicable,1,ARG,Argentina,ITA,Italy,1,1,1,1,4,3,D
1990,WC-1990,M-1990-50,1990-07-04,semi-finals,not applicable,1,DEU,West Germany,ENG,England,1,1,1,1,4,3,D
1990,WC-1990,M-1990-51,1990-07-07,third-place match,not applicable,1,ITA,Italy,ENG,England,2,1,0,0,0,0,H
1990,WC-1990,M-1990-52,1990-07-08,final,not applicable,1,DEU,West Germany,ARG,Argentina,1,0,0,0,0,0,H
1994,WC-1994,M-1994-01,1994-06-17,group stage,Group C,0,DEU,Germany,BOL,Bolivia,1,0,0,0,0,0,H
1994,WC-1994,M-1994-02,1994-06-17,group stage,Group C,0,ESP,Spain,KOR,South Korea,2,2,0,0,0,0,D
1994,WC-1994,M-1994-03,1994-06-18,group stage,Group A,0,USA,United States,CHE,Switzerland,1,1,0,0,0,0,D
1994,WC-1994,M-1994-04,1994-06-18,group stage,Group E,0,ITA,Italy,IRL,Republic of Ireland,0,1,0,0,0,0,A
1994,WC-1994,M-1994-05,1994-06-18,group stage,Group A,0,COL,Colombia,ROU,Romania,1,3,0,0,0,0,A
1994,WC-1994,M-1994-06,1994-06-19,group stage,Group F,0,BEL,Belgium,MAR,Morocco,1,0,0,0,0,0,H
1994,WC-1994,M-1994-07,1994-06-19,group stage,Group E,0,NOR,Norway,MEX,Mexico,1,0,0,0,0,0,H
1994,WC-1994,M-1994-08,1994-06-19,group stage,Group B,0,CMR,Cameroon,SWE,Sweden,2,2,0,0,0,0,D
1994,WC-1994,M-1994-09,1994-06-20,group stage,Group B,0,BRA,Brazil,RUS,Russia,2,0,0,0,0,0,H
1994,WC-1994,M-1994-10,1994-06-20,group stage,Group F,0,NLD,Netherlands,SAU,Saudi Arabia,2,1,0,0,0,0,H
1994,WC-1994,M-1994-11,1994-06-21,group stage,Group D,0,ARG,Argentina,GRC,Greece,4,0,0,0,0,0,H
1994,WC-1994,M-1994-12,1994-06-21,group stage,Group C,0,DEU,Germany,ESP,Spain,1,1,0,0,0,0,D
1994,WC-1994,M-1994-13,1994-06-21,group stage,Group D,0,NGA,Nigeria,BGR,Bulgaria,3,0,0,0,0,0,H
1994,WC-1994,M-1994-14,1994-06-22,group stage,Group A,0,ROU,Romania,CHE,Switzerland,1,4,0,0,0,0,A
1994,WC-1994,M-1994-15,1994-06-22,group stage,Group A,0,USA,United States,COL,Colombia,2,1,0,0,0,0,H
1994,WC-1994,M-1994-16,1994-06-23,group stage,Group E,0,ITA,Italy,NOR,Norway,1,0,0,0,0,0,H
1994,WC-1994,M-1994-17,1994-06-23,group stage,Group C,0,KOR,South Korea,BOL,Bolivia,0,0,0,0,0,0,D
1994,WC-1994,M-1994-18,1994-06-24,group stage,Group E,0,MEX,Mexico,IRL,Republic of Ireland,2,1,0,0,0,0,H
1994,WC-1994,M-1994-19,1994-06-24,group stage,Group B,0,BRA,Brazil,CMR,Cameroon,3,0,0,0,0,0,H
1994,WC-1994,M-1994-20,1994-06-24,group stage,Group B,0,SWE,Sweden,RUS,Russia,3,1,0,0,0,0,H
1994,WC-1994,M-1994-21,1994-06-25,group stage,Group F,0,BEL,Belgium,NLD,Netherlands,1,0,0,0,0,0,H
1994,WC-1994,M-1994-22,1994-06-25,group stage,Group F,0,SAU,Saudi Arabia,MAR,Morocco,2,1,0,0,0,0,H
